q1,q2,q3,q4,q5,q6
-0.023779,-0.051869,-0.015489,-0.13811,-1.9418,-0.20368
-0.023951,-0.051835,-0.015014,-0.14253,-1.9076,-0.20268
-0.024107,-0.051801,-0.014533,-0.14697,-1.8735,-0.20159
-0.024246,-0.051766,-0.014047,-0.15141,-1.8394,-0.20041
-0.024246,-0.051766,-0.014047,-0.15141,-1.8394,-0.20041
-0.024336,-0.051741,-0.013695,-0.15463,-1.8149,-0.19954
-0.024417,-0.051716,-0.013342,-0.15785,-1.7903,-0.19862
-0.024489,-0.051691,-0.012986,-0.16107,-1.7658,-0.19765
-0.024552,-0.051667,-0.012629,-0.1643,-1.7413,-0.19663
-0.024607,-0.051642,-0.01227,-0.16752,-1.7168,-0.19557
-0.024652,-0.051617,-0.011911,-0.17075,-1.6923,-0.19446
-0.024689,-0.051592,-0.01155,-0.17398,-1.6677,-0.19331
-0.024717,-0.051567,-0.011189,-0.1772,-1.6432,-0.1921
-0.024735,-0.051542,-0.010828,-0.18043,-1.6187,-0.19085
-0.024745,-0.051517,-0.010466,-0.18365,-1.5942,-0.18955
-0.024746,-0.051492,-0.010104,-0.18688,-1.5697,-0.1882
-0.024738,-0.051468,-0.0097429,-0.1901,-1.5452,-0.18681
-0.024721,-0.051443,-0.0093819,-0.19331,-1.5207,-0.18537
-0.024696,-0.051418,-0.0090215,-0.19653,-1.4962,-0.18388
-0.024661,-0.051393,-0.0086621,-0.19973,-1.4717,-0.18233
-0.024618,-0.051368,-0.0083038,-0.20293,-1.4472,-0.18075
-0.024566,-0.051344,-0.0079468,-0.20613,-1.4227,-0.17911
-0.024505,-0.051319,-0.0075913,-0.20932,-1.3982,-0.17743
-0.024435,-0.051294,-0.0072376,-0.2125,-1.3737,-0.17569
-0.024356,-0.051269,-0.0068859,-0.21568,-1.3493,-0.17392
-0.024269,-0.051245,-0.0065364,-0.21885,-1.3248,-0.17208
-0.024174,-0.05122,-0.0061893,-0.22201,-1.3003,-0.1702
-0.02407,-0.051195,-0.0058448,-0.22516,-1.2758,-0.16828
-0.023957,-0.051171,-0.0055031,-0.2283,-1.2514,-0.1663
-0.023837,-0.051146,-0.0051645,-0.23143,-1.2269,-0.16427
-0.023708,-0.051121,-0.0048291,-0.23454,-1.2024,-0.1622
-0.02357,-0.051097,-0.0044971,-0.23765,-1.178,-0.16008
-0.023425,-0.051072,-0.0041688,-0.24074,-1.1535,-0.1579
-0.023272,-0.051047,-0.0038443,-0.24384,-1.1291,-0.15569
-0.023111,-0.051023,-0.0035238,-0.24689,-1.1046,-0.15341
-0.022942,-0.050998,-0.0032076,-0.24994,-1.0802,-0.15109
-0.022765,-0.050974,-0.0028957,-0.25298,-1.0557,-0.14873
-0.022581,-0.050949,-0.0025885,-0.256,-1.0313,-0.14631
-0.02239,-0.050925,-0.002286,-0.259,-1.0069,-0.14384
-0.022191,-0.0509,-0.0019885,-0.26199,-0.98242,-0.14133
-0.021985,-0.050876,-0.0016961,-0.26496,-0.958,-0.13876
-0.021772,-0.050851,-0.0014091,-0.26791,-0.93357,-0.13615
-0.021552,-0.050827,-0.0011275,-0.27085,-0.90915,-0.13349
-0.021325,-0.050802,-0.0008516,-0.27376,-0.88473,-0.13078
-0.021092,-0.050778,-0.00058149,-0.27665,-0.86032,-0.12802
-0.020852,-0.050753,-0.00031735,-0.27952,-0.83591,-0.12521
-0.020606,-0.050729,-5.9339e-05,-0.28237,-0.8115,-0.12235
-0.020353,-0.050704,0.0001924,-0.2852,-0.7871,-0.11944
-0.020095,-0.05068,0.00043771,-0.288,-0.7627,-0.11649
-0.019831,-0.050656,0.00067645,-0.29079,-0.73831,-0.11349
-0.019561,-0.050631,0.00090844,-0.29356,-0.71391,-0.11044
-0.019286,-0.050607,0.0011337,-0.29627,-0.68953,-0.10734
-0.019005,-0.050583,0.0013519,-0.29898,-0.66515,-0.10419
-0.01872,-0.050558,0.001563,-0.30166,-0.64077,-0.10099
-0.018429,-0.050534,0.0017669,-0.30431,-0.61639,-0.097747
-0.018429,-0.050534,0.0017669,-0.30431,-0.61639,-0.097747
-0.01836,-0.050528,0.0018139,-0.30494,-0.61065,-0.096977
-0.01829,-0.050522,0.0018605,-0.30556,-0.6049,-0.096202
-0.01822,-0.050517,0.0019067,-0.30618,-0.59916,-0.095425
-0.01815,-0.050511,0.0019524,-0.3068,-0.59341,-0.094649
-0.01808,-0.050505,0.0019978,-0.30741,-0.58767,-0.093864
-0.01801,-0.0505,0.0020427,-0.30802,-0.58193,-0.093079
-0.017939,-0.050494,0.0020872,-0.30864,-0.57618,-0.092292
-0.017868,-0.050488,0.0021313,-0.30925,-0.57044,-0.091502
-0.017796,-0.050482,0.002175,-0.30986,-0.5647,-0.09071
-0.017725,-0.050477,0.0022183,-0.31047,-0.55895,-0.089915
-0.017653,-0.050471,0.0022611,-0.31108,-0.55321,-0.089116
-0.017581,-0.050465,0.0023035,-0.31168,-0.54747,-0.088316
-0.017509,-0.050459,0.0023455,-0.31229,-0.54173,-0.087514
-0.017437,-0.050454,0.0023871,-0.31289,-0.53598,-0.086707
-0.017364,-0.050448,0.0024282,-0.31349,-0.53024,-0.085899
-0.017291,-0.050442,0.0024689,-0.31409,-0.5245,-0.085088
-0.017218,-0.050436,0.0025092,-0.31468,-0.51876,-0.084274
-0.017144,-0.050431,0.002549,-0.31528,-0.51302,-0.083458
-0.017071,-0.050425,0.0025884,-0.31587,-0.50728,-0.082638
-0.016997,-0.050419,0.0026274,-0.31646,-0.50154,-0.081817
-0.016923,-0.050413,0.002666,-0.31705,-0.4958,-0.080993
-0.016849,-0.050408,0.0027041,-0.31764,-0.49006,-0.080166
-0.016774,-0.050402,0.0027417,-0.31823,-0.48432,-0.079336
-0.0167,-0.050396,0.002779,-0.31881,-0.47858,-0.078505
-0.016625,-0.050391,0.0028158,-0.3194,-0.47284,-0.077669
-0.01655,-0.050385,0.0028521,-0.31998,-0.4671,-0.076832
-0.016474,-0.050379,0.002888,-0.32056,-0.46136,-0.075992
-0.016399,-0.050373,0.0029235,-0.32113,-0.45562,-0.07515
-0.016323,-0.050368,0.0029585,-0.32171,-0.44988,-0.074304
-0.016247,-0.050362,0.0029931,-0.32228,-0.44414,-0.073456
-0.016171,-0.050356,0.0030273,-0.32286,-0.43841,-0.072606
-0.016095,-0.050351,0.0030609,-0.32343,-0.43267,-0.071753
-0.016019,-0.050345,0.0030942,-0.324,-0.42693,-0.070898
-0.015942,-0.050339,0.003127,-0.32456,-0.4212,-0.070039
-0.015865,-0.050333,0.0031593,-0.32513,-0.41546,-0.069179
-0.015788,-0.050328,0.0031912,-0.32569,-0.40972,-0.068315
